"Name","Born"
"Michelangelo Antonioni","1912",1
"Federico Fellini","1920",2
"Pier Paolo Pasolini","1922",3
"Mel Brooks","1926",4
"Stanley Kubrick","1928",5
"Sergio Leone","1929",6
"Jean-Luc Godard","1930",7
"François Truffaut","1932",8
"Roman Polanski","1933",9
"Woody Allen","1935",10
"Francis Ford Coppola","1939",11
"Brian De Palma","1940",12
"Martin Scorsese","1942",15
"George Lucas","1944",16
"David Lynch","1946",17
"Steven Spielberg","1946",18
"John Carpenter","1948",19
"James Cameron","1954",20
